;brain ID;slice ID;tumorArea;tumorStd;tumorMean;tumorMedian;brainArea;brainMean;brainMedian;contrast
0;0;31;83;20.124002;197.84337;197.0;6133;176.86678;180.0;20.976593
1;0;32;201;25.758026;219.33333;219.0;6484;176.05363;180.0;43.279694
2;0;33;262;25.836742;221.9313;221.0;6867;174.7464;179.0;47.184906
3;0;34;301;27.295584;223.57143;224.0;7224;173.5892;179.0;49.982224
4;0;35;347;32.294342;225.34871;223.0;7546;172.81595;179.0;52.53276
5;0;36;439;30.317097;233.07516;233.0;7862;172.57335;180.0;60.501816
6;0;37;526;35.95409;245.6692;245.0;8213;172.35124;181.0;73.31796
7;0;38;588;45.300148;262.48468;258.5;8504;173.02994;182.0;89.45474
8;0;39;633;45.245216;262.76144;259.0;8811;172.27757;182.0;90.48387
9;0;40;651;45.4623;261.56067;258.0;9151;171.228;182.0;90.33267
10;0;41;747;50.720627;254.49799;249.0;9518;169.42903;180.0;85.068954
11;0;42;947;42.42608;247.89441;245.0;9838;168.82364;179.0;79.07077
12;0;43;1025;38.036785;257.83804;252.0;10143;169.5964;178.0;88.24164
13;0;44;1121;49.197952;266.8903;264.0;10403;170.4819;178.0;96.40839
14;0;45;1154;48.92286;268.53812;269.0;10688;170.46864;178.0;98.06947
15;0;46;1202;51.64148;265.62894;269.0;11062;168.53722;176.5;97.09172
16;0;47;1357;54.89985;257.71408;261.0;11341;169.26253;176.0;88.45155
17;0;48;1649;46.03479;252.65251;249.0;11636;171.70673;176.0;80.945786
18;0;49;1974;43.841206;260.69705;266.0;12052;170.193;174.0;90.50406
19;0;50;2175;51.77879;263.80414;268.0;12682;166.60645;173.0;97.19769
20;0;51;2240;50.500114;264.78705;271.0;13199;163.70161;170.0;101.085434
21;0;52;2328;52.26744;263.7195;271.0;13561;162.19995;168.0;101.51956
22;0;53;2545;49.258793;262.156;267.0;13935;162.23697;165.0;99.91904
23;0;54;2859;44.891754;262.0899;266.0;14236;163.51674;164.0;98.573166
24;0;55;2992;47.537807;269.21457;273.0;14509;165.84615;166.0;103.36842
25;0;56;3070;51.78865;273.91595;281.0;14749;167.29369;168.0;106.62227
26;0;57;3138;52.393017;276.31964;284.0;15029;166.41939;167.0;109.90025
27;0;58;3272;53.650013;276.4022;284.0;15259;164.98232;167.0;111.419876
28;0;59;3644;53.970406;274.87186;279.0;15500;163.06587;165.0;111.805984
29;0;60;3906;53.188904;278.79825;284.0;15696;162.72307;164.0;116.07518
30;0;61;4068;58.251183;284.78394;290.0;15905;162.05331;162.0;122.73062
31;0;62;4186;62.729992;286.8994;292.0;16125;161.26543;161.0;125.63399
32;0;63;4280;63.039818;284.70303;289.0;16315;159.59044;160.0;125.112595
33;0;64;4588;63.95021;279.09918;282.0;16510;157.74199;159.0;121.35719
34;0;65;4845;60.921207;278.8716;279.0;16721;155.48686;157.0;123.38475
35;0;66;5030;57.361393;280.5839;284.0;16887;153.75912;156.0;126.82477
36;0;67;5048;57.168766;284.36807;285.0;17056;153.19304;155.0;131.17503
37;0;68;5040;57.88972;286.81607;288.0;17206;152.73828;154.0;134.07779
38;0;69;5014;58.117985;289.45215;291.0;17338;152.82237;153.0;136.62978
39;0;70;5017;57.972946;289.7696;292.0;17412;152.78781;153.0;136.98178
40;0;71;4921;55.653336;289.56268;292.0;17465;153.03587;154.0;136.52681
41;0;72;4860;53.440186;289.31873;294.0;17503;152.46246;153.0;136.85626
42;0;73;4761;53.400486;292.7406;297.0;17529;151.71225;153.0;141.02835
43;0;74;4584;52.037254;298.92517;304.0;17543;151.40913;153.0;147.51604
44;0;75;4552;50.962673;300.3715;306.0;17544;150.96436;153.0;149.40714
45;0;76;4500;50.969627;300.5;305.0;17508;150.49916;152.0;150.00084
46;0;77;4428;48.819996;299.5122;304.0;17480;149.78302;152.0;149.72919
47;0;78;4453;49.666073;296.24298;303.0;17424;148.34146;150.0;147.90152
48;0;79;4265;51.02523;298.8919;303.0;17376;147.6811;150.0;151.2108
49;0;80;4217;51.664604;301.5461;307.0;17332;146.35112;149.0;155.19499
50;0;81;4209;51.88809;302.37015;308.0;17266;145.99272;149.0;156.37743
51;0;82;4175;52.55813;302.87378;308.0;17223;145.93755;149.0;156.93623
52;0;83;4135;52.781563;302.9185;308.0;17139;146.26376;149.0;156.65472
53;0;84;4183;54.396183;301.43988;302.0;17036;145.36949;148.0;156.07039
54;0;85;4077;59.66705;303.5548;306.0;16923;144.15157;147.0;159.40324
55;0;86;3832;59.698605;309.24216;315.0;16793;143.39511;146.0;165.84705
56;0;87;3797;59.071144;308.512;315.0;16673;142.11215;145.0;166.39984
57;0;88;3765;58.714874;307.70306;314.0;16568;141.61766;145.0;166.0854
58;0;89;3752;57.659286;305.3718;312.5;16458;141.32158;144.0;164.05022
59;0;90;3764;56.711803;301.0263;301.0;16327;140.19876;144.0;160.82755
60;0;91;3535;60.129745;303.07413;305.0;16167;140.1212;143.0;162.95293
61;0;92;3257;57.39783;308.7817;313.0;16007;139.69757;143.0;169.08414
62;0;93;3164;56.481724;308.5294;314.0;15829;139.30098;142.0;169.22841
63;0;94;3008;55.4843;309.15292;315.0;15619;139.663;142.0;169.48993
64;0;95;2772;53.051273;302.4109;305.0;15394;140.53462;142.0;161.87627
65;0;96;2290;54.401424;298.67947;301.0;15185;142.12021;143.0;156.55927
66;0;97;1815;54.247677;305.71405;315.0;14963;142.05795;142.0;163.6561
67;0;98;1673;50.756733;307.88882;317.0;14738;140.98117;142.0;166.90765
68;0;99;1598;49.286804;306.73093;315.0;14502;141.02402;142.0;165.70691
69;0;100;1508;48.23657;303.94696;313.0;14268;141.2641;142.0;162.68286
70;0;101;1397;46.138374;289.8103;298.0;14029;141.75871;141.0;148.05159
71;0;102;1211;42.312057;280.0925;287.0;13751;142.11371;141.0;137.97879
72;0;103;1055;35.89558;279.3621;285.0;13456;141.10942;140.0;138.25267
73;0;104;966;33.146595;278.8561;283.5;13180;140.20125;139.0;138.65486
74;0;105;867;32.872746;276.17877;281.0;12892;139.61497;138.0;136.5638
75;0;106;780;32.93969;275.14743;279.0;12619;138.79466;138.0;136.35277
76;0;107;647;29.943981;261.47604;263.0;12310;138.56247;138.0;122.913574
77;0;108;418;23.355354;241.1244;240.0;11994;138.10306;137.0;103.02135
78;0;109;141;17.185434;236.63121;236.0;11670;137.0412;136.0;99.59001
79;0;110;89;14.411303;224.44943;225.0;11325;135.64355;136.0;88.80588
