;DS;DS;OF;OF;EF;EF;IoU;IoU;Sn;Sn;Sp;Sp;Acc;Acc;AO;AO;FPR;FPR;FNR;FNR;MA;MA;MAPE;MAPE;Rerr;Rerr;MAPE2;MAPE2;Rerr2;Rerr2;PSNR;PSNR;PSNR2;PSNR2;PSNR3;PSNR3
;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad;biratu;saad
layer: 74;0.060966542750929366;0.3054187192118227;1.0;0.18902439024390244;30.804878048780488;0.04878048780487805;0.03144171779141104;0.18023255813953487;1.0;0.18902439024390244;0.6632673465306939;0.9994667733120043;0.6669084195951738;0.9907035010219556;0.03144171779141104;0.18023255813953487;0.33673265346930614;0.0005332266879957342;0.0;0.8109756097560976;0.3330915804048263;0.009296498978044439;30.804878048780488;0.7621951219512195;0.3330915804048263;-0.008241577108195425;30.804878048780488;0.7621951219512195;0.08770833333333333;-0.002170138888888889;10.569591415399188;26.11203370767832;4.774363448829371;20.316805741108507;-44.093473913564445;-30.43025765503213
layer: 75;0.5559368565545642;0.32179226069246436;1.0;0.19506172839506172;1.5975308641975308;0.01728395061728395;0.3849809885931559;0.19174757281553398;1.0;0.19506172839506172;0.9564192375050519;0.9995284925232386;0.9575765523572225;0.9781653662054948;0.3849809885931559;0.19174757281553398;0.04358076249494813;0.0004715074767614172;0.0;0.8049382716049382;0.04242344764277752;0.021834633794505277;1.5975308641975308;0.7876543209876543;0.04242344764277752;-0.020916661202544096;1.5975308641975308;0.7876543209876543;0.01123263888888889;-0.0055381944444444445;19.495182027545116;22.379782499168922;13.723940404071119;16.60854087569492;-36.010803093611905;-34.57229453173896
layer: 76;0.7553041018387553;0.5910348644161594;;;0.6479400749063671;1.3838951310861423;0.6068181818181818;0.4194815396700707;;;0.9765646166350582;0.9499458141425088;0.9773826644005752;0.9516930317688587;0.6068181818181818;0.4194815396700707;0.02343538336494175;0.0500541858574912;;;0.022617335599424762;0.04830696823114133;0.6479400749063671;1.3838951310861423;0.022617335599424762;0.04830696823114133;0.6479400749063671;1.3838951310861423;0.006006944444444444;0.012829861111111111;22.213463846304357;18.917780450283864;16.45558557793497;13.159902181914479;-33.86740396189705;-36.83002713555058
layer: 77;0.8766937669376694;0.775435380384968;0.9969183359013868;0.6517719568567026;0.2773497688751926;0.029275808936825885;0.7804583835946924;0.6332335329341318;0.9969183359013868;0.6517719568567026;0.9877317339149401;0.9987050163576882;0.9881208798381307;0.9840088767051759;0.7804583835946924;0.6332335329341318;0.012268266085059978;0.0012949836423118866;0.0030816640986132513;0.34822804314329736;0.01187912016186933;0.0159911232948241;0.27426810477657937;0.3189522342064715;0.011618040597872201;-0.01351086743685138;0.27426810477657937;0.3189522342064715;0.0030902777777777777;-0.00359375;25.003510954381372;23.712563990586798;19.252157245901277;17.961210282106702;-31.625031961396036;-33.445962602704874
layer: 78;0.9526153846153846;0.8818791946308725;0.9772727272727273;0.8295454545454546;0.07449494949494949;0.05176767676767677;0.9095182138660399;0.7887154861944778;0.9772727272727273;0.8295454545454546;0.9959413909334801;0.9971796106486895;0.9949768412812316;0.9885184943571009;0.9095182138660399;0.7887154861944778;0.004058609066519915;0.002820389351310449;0.022727272727272728;0.17045454545454544;0.005023158718768348;0.01148150564289908;0.05176767676767677;0.11868686868686869;0.002674668928175354;-0.0061321677865483724;0.05176767676767677;0.11868686868686869;0.0007118055555555556;-0.0016319444444444445;28.7393175825073;25.149098156090623;22.990230990460567;19.400011564043886;-28.42936393899376;-31.783661105174296
layer: 79;0.9455470737913486;0.541033434650456;0.9677083333333333;0.37083333333333335;0.07916666666666666;0.0;0.8967181467181468;0.37083333333333335;0.9677083333333333;0.37083333333333335;0.9947086263315463;1.0;0.9930170332180382;0.9605821314364028;0.8967181467181468;0.37083333333333335;0.005291373668453666;0.0;0.03229166666666667;0.6291666666666667;0.006982966781961757;0.039417868563597205;0.046875;0.6291666666666667;0.00293676173073158;-0.039417868563597205;0.046875;0.6291666666666667;0.00078125;-0.010486111111111111;27.310387057380026;19.793855448020803;21.55960023896979;14.043068629610566;-28.918063073887584;-37.82134926355011
layer: 80;0.9141414141414141;0.6178956572427864;0.8513640639698965;0.9971777986829727;0.011288805268109126;1.2304797742238947;0.8418604651162791;0.44706874736398144;0.8513640639698965;0.9971777986829727;0.9991586032814472;0.9082877576777451;0.9889070146818923;0.9144535073409462;0.8418604651162791;0.44706874736398144;0.0008413967185527977;0.09171224232225494;0.14863593603010347;0.0028222013170272815;0.011092985318107667;0.08554649265905383;0.13734713076199437;1.2276575729068673;-0.009526916802610114;0.08515497553017945;0.13734713076199437;1.2276575729068673;-0.002534722222222222;0.02265625;25.299735620449383;16.42819791733128;19.549515618121788;10.677977915003684;-31.205640931010677;-38.38713544586328
layer: 81;0.9202772963604853;0.8777614138438881;0.8557614826752619;0.9605157131345688;0.0040290088638195;0.22804190169218372;0.8523274478330658;0.7821522309711286;0.8557614826752619;0.9605157131345688;0.9996447602131439;0.9798934280639432;0.9879864194306608;0.9783233220161922;0.8523274478330658;0.7821522309711286;0.00035523978685612787;0.02010657193605684;0.1442385173247381;0.0394842868654311;0.012013580569339252;0.021676677983807784;0.14020950846091862;0.18855761482675262;-0.011360668581875163;0.015278140506659703;0.14020950846091862;0.18855761482675262;-0.0030208333333333333;0.0040625;24.956046604136755;22.392843997191754;19.203275346661137;16.640072739716135;-31.116825993676883;-33.40727152230517
layer: 82;0.915940006975933;0.9120111731843575;0.8564905414220483;0.8519243313763861;0.0136986301369863;0.016307893020221786;0.8449163449163449;0.8382541720154044;0.8564905414220483;0.8519243313763861;0.9984736153510685;0.9981828754179387;0.9842390948924203;0.9835197174808711;0.8449163449163449;0.8382541720154044;0.0015263846489315307;0.0018171245820613462;0.14350945857795172;0.14807566862361382;0.01576090510757962;0.0164802825191289;0.12981082844096542;0.13176777560339203;-0.013014191354391472;-0.013210385193904911;0.12981082844096542;0.13176777560339203;-0.0034548611111111112;-0.0035069444444444445;23.784054408483435;23.59021942641668;18.024188457335022;17.830353475268264;-32.35033359945588;-32.571722271752066
