;DS;OF;EF;IoU;Sn;Sp;Acc;AO;FPR;FNR;MA;MAPE;Rerr;MAPE2;Rerr2;PSNR;PSNR2;PSNR3
layer: 74;0.060966542750929366;1.0;30.804878048780488;0.03144171779141104;1.0;0.6632673465306939;0.6669084195951738;0.03144171779141104;0.33673265346930614;0.0;0.3330915804048263;30.804878048780488;0.3330915804048263;30.804878048780488;0.08770833333333333;10.569591415399188;4.774363448829371;-44.093473913564445
layer: 75;0.5559368565545642;1.0;1.5975308641975308;0.3849809885931559;1.0;0.9564192375050519;0.9575765523572225;0.3849809885931559;0.04358076249494813;0.0;0.04242344764277752;1.5975308641975308;0.04242344764277752;1.5975308641975308;0.01123263888888889;19.495182027545116;13.723940404071119;-36.010803093611905
layer: 76;0.7553041018387553;1.0;0.6479400749063671;0.6068181818181818;1.0;0.9765646166350582;0.9773826644005752;0.6068181818181818;0.02343538336494175;0.0;0.022617335599424762;0.6479400749063671;0.022617335599424762;0.6479400749063671;0.006006944444444444;22.213463846304357;16.45558557793497;-33.86740396189705
layer: 77;0.8766937669376694;0.9969183359013868;0.2773497688751926;0.7804583835946924;0.9969183359013868;0.9877317339149401;0.9881208798381307;0.7804583835946924;0.012268266085059978;0.0030816640986132513;0.01187912016186933;0.27426810477657937;0.011618040597872201;0.27426810477657937;0.0030902777777777777;25.003510954381372;19.252157245901277;-31.625031961396036
layer: 78;0.9526153846153846;0.9772727272727273;0.07449494949494949;0.9095182138660399;0.9772727272727273;0.9959413909334801;0.9949768412812316;0.9095182138660399;0.004058609066519915;0.022727272727272728;0.005023158718768348;0.05176767676767677;0.002674668928175354;0.05176767676767677;0.0007118055555555556;28.7393175825073;22.990230990460567;-28.42936393899376
layer: 79;0.9455470737913486;0.9677083333333333;0.07916666666666666;0.8967181467181468;0.9677083333333333;0.9947086263315463;0.9930170332180382;0.8967181467181468;0.005291373668453666;0.03229166666666667;0.006982966781961757;0.046875;0.00293676173073158;0.046875;0.00078125;27.310387057380026;21.55960023896979;-28.918063073887584
layer: 80;0.9141414141414141;0.8513640639698965;0.011288805268109126;0.8418604651162791;0.8513640639698965;0.9991586032814472;0.9889070146818923;0.8418604651162791;0.0008413967185527977;0.14863593603010347;0.011092985318107667;0.13734713076199437;-0.009526916802610114;0.13734713076199437;-0.002534722222222222;25.299735620449383;19.549515618121788;-31.205640931010677
layer: 81;0.9202772963604853;0.8557614826752619;0.0040290088638195;0.8523274478330658;0.8557614826752619;0.9996447602131439;0.9879864194306608;0.8523274478330658;0.00035523978685612787;0.1442385173247381;0.012013580569339252;0.14020950846091862;-0.011360668581875163;0.14020950846091862;-0.0030208333333333333;24.956046604136755;19.203275346661137;-31.116825993676883
layer: 82;0.915940006975933;0.8564905414220483;0.0136986301369863;0.8449163449163449;0.8564905414220483;0.9984736153510685;0.9842390948924203;0.8449163449163449;0.0015263846489315307;0.14350945857795172;0.01576090510757962;0.12981082844096542;-0.013014191354391472;0.12981082844096542;-0.0034548611111111112;23.784054408483435;18.024188457335022;-32.35033359945588
layer: 83;0.9568717653824037;0.9574223245109321;0.04372842347525892;0.9173098125689085;0.9574223245109321;0.9943811917787964;0.9901729559748428;0.9173098125689085;0.005618808221203608;0.04257767548906789;0.009827044025157232;0.0011507479861910242;0.0001310272536687631;0.0011507479861910242;3.472222222222222e-05;25.84331224367531;20.075770983043387;-30.673324500234393
layer: 84;0.9795025963377972;0.9829950630828305;0.024136039495337356;0.9598286020353508;0.9829950630828305;0.9967132292522597;0.995069033530572;0.9598286020353508;0.003286770747740345;0.017004936917169502;0.004930966469428008;0.007131102578167855;0.0008547008547008547;0.007131102578167855;0.00022569444444444443;28.853612200315123;23.070679506612986;-27.853617092193716
layer: 85;0.9803716304632295;0.9868282402528978;0.026343519494204427;0.9614989733059548;0.9868282402528978;0.996225845410628;0.9950481975439059;0.9614989733059548;0.0037741545893719805;0.013171759747102213;0.004951802456094018;0.013171759747102213;0.001650600818698006;0.013171759747102213;0.00043402777777777775;28.853612200315123;23.05236689096894;-28.443051103710136
layer: 86;0.9763659466327828;0.9811031664964249;0.028600612870275793;0.9538232373386296;0.9811031664964249;0.9957326830755163;0.9938333001790333;0.9538232373386296;0.004267316924483731;0.018896833503575076;0.006166699820966779;0.009703779366700716;0.0012598634042835356;0.009703779366700716;0.0003298611111111111;27.91939534869277;22.099471913938025;-31.709760697192056
layer: 87;0.9751098096632503;0.9633558341369335;0.01253616200578592;0.9514285714285714;0.9633558341369335;0.9979925880172946;0.9932117662717955;0.9514285714285714;0.002007411982705374;0.03664416586306654;0.006788233728204446;0.024108003857280617;-0.003327565553041395;0.024108003857280617;-0.0008680555555555555;27.518223116612944;21.682432127418213;-32.42925705812934
layer: 88;0.9773817683344757;0.9820936639118457;0.027548209366391185;0.9557640750670241;0.9820936639118457;0.9953007518796992;0.9933761541549578;0.9557640750670241;0.004699248120300752;0.01790633608815427;0.0066238458450421514;0.009641873278236915;0.0014050582095543958;0.009641873278236915;0.00036458333333333335;27.64787288825662;21.788897833226002;-32.04481005137669
layer: 89;0.9359118506858556;0.8795435333896873;0.0;0.8795435333896873;0.8795435333896873;1.0;0.9808364712210866;0.8795435333896873;0.0;0.12045646661031277;0.019163528778913395;0.12045646661031277;-0.019163528778913395;0.12045646661031277;-0.0049479166666666664;23.055776234147018;17.17524516755332;-33.884328089886324
layer: 90;0.8793636765355722;0.7847003154574133;0.0;0.7847003154574133;0.7847003154574133;1.0;0.9630756745790221;0.7847003154574133;0.0;0.21529968454258674;0.036924325420977885;0.21529968454258674;-0.036924325420977885;0.21529968454258674;-0.009479166666666667;20.23229840718475;14.326874301696495;-37.01515007338212
