;DS;OF;EF;IoU;Sn;Sp;Acc;AO;FPR;FNR;MA;MAPE;Rerr;MAPE2;Rerr2;PSNR;PSNR2;PSNR3
layer: 74;0.021061619467767183;0.9024390243902439;83.79268292682927;0.010642887962030778;0.9024390243902439;0.08404985669532761;0.09289905716357882;0.010642887962030778;0.9159501433046724;0.0975609756097561;0.9071009428364212;83.6951219512195;0.9049910990967232;83.6951219512195;0.2382986111111111;6.218671783096296;0.42344381652647806;-47.49981441003858
layer: 75;0.0480642703788351;0.8567901234567902;33.79506172839506;0.024623900085154696;0.8567901234567902;0.07806816650949751;0.09874762310668153;0.024623900085154696;0.9219318334905025;0.14320987654320988;0.9012523768933185;33.65185185185185;0.8936463182742115;33.65185185185185;0.23661458333333332;6.222777392437248;0.45153576896324704;-47.41522564318519
layer: 76;0.03709512444595977;0.5093632958801498;25.95318352059925;0.018898075453345375;0.5093632958801498;0.061297751286914115;0.07693816185122238;0.018898075453345375;0.9387022487130858;0.49063670411985016;0.9230618381487776;25.4625468164794;0.8888089946398222;25.4625468164794;0.2360590277777778;6.105570303969506;0.3476920356001212;-47.547440560882215
layer: 77;0.0;0.0;1.687211093990755;0.0;0.0;0.9253680479825518;0.8861693100972521;0.0;0.0746319520174482;1.0;0.11383068990274786;0.687211093990755;0.029110371385679786;65.83204930662558;0.7417534722222222;1.1674284868040752;9.437406319786541;-39.05222169679402
layer: 78;0.06230918678878712;0.5669191919191919;16.630050505050505;0.03215641337821385;0.5669191919191919;0.09396711838756278;0.11840302694239677;0.03215641337821385;0.9060328816124372;0.43308080808080807;0.8815969730576032;16.196969696969695;0.8368451953813034;16.196969696969695;0.22270833333333334;6.296385688342557;0.5472990962958229;-47.561826866426024
layer: 79;0.04654811715481171;0.37083333333333335;14.5625;0.023828647925033468;0.37083333333333335;0.026665738355496762;0.048228153755791946;0.023828647925033468;0.9733342616445032;0.6291666666666667;0.9517718462442081;13.933333333333334;0.8729361091170137;13.933333333333334;0.23222222222222222;5.965458277762922;0.21467145935268583;-47.82153507131532
layer: 80;0.043946072076743586;0.31890874882408277;13.194731890874882;0.022466697594273975;0.31890874882408277;0.01654746879820502;0.037520391517128875;0.022466697594273975;0.983452531201795;0.6810912511759172;0.9624796084828712;12.513640639698965;0.8679934747145187;12.513640639698965;0.2309375;5.916304631090302;0.16608462876270824;-47.96617317454246
layer: 81;0.0;0.0;1.3400483481063659;0.0;0.0;0.8818472468916518;0.8103943588404283;0.0;0.11815275310834814;1.0;0.18960564115957168;0.34004834810636586;0.027552885870984593;34.41257050765512;0.7414236111111111;1.0539936333974649;7.2214874564759395;-42.69374253226065
layer: 82;0.07961262734247264;0.41291585127201563;8.960208741030659;0.04145654594275984;0.41291585127201563;0.0015990696322139846;0.04283565496043424;0.04145654594275984;0.998400930367786;0.5870841487279843;0.9571643450395657;8.373124592302675;0.8394480413315022;8.373124592302675;0.22284722222222222;5.950000826086423;0.19013487493800593;-48.12653752724435
layer: 83;0.14902740662482133;0.689873417721519;7.568469505178366;0.08051302712865968;0.689873417721519;0.02750258760904924;0.10292190775681341;0.08051302712865968;0.9724974123909508;0.310126582278481;0.8970780922431866;7.258342922899885;0.8264544025157232;7.258342922899885;0.21901041666666668;6.23923875266513;0.47169749203320727;-47.75916027772992
layer: 84;0.07504904132126812;0.3252879868348875;7.34339001645639;0.03898750821827745;0.3252879868348875;0.0;0.03898750821827745;0.03898750821827745;1.0;0.6747120131651124;0.9610124917817225;6.668678003291278;0.7992767915844838;29.921557871640154;0.9469965277777778;0.04494296615314168;0.17270967090443423;-48.52243778220412
layer: 85;0.11230213137230463;0.4747102212855637;6.97945205479452;0.0594915813799934;0.4747102212855637;7.548309178743961e-05;0.05955367753862406;0.0594915813799934;0.9999245169082126;0.5252897787144363;0.9404463224613759;6.454162276080084;0.808794401162023;6.454162276080084;0.2126736111111111;6.067905184209961;0.26665987486377907;-48.43692439075333
layer: 86;0.20651252874954606;0.8712972420837589;6.566905005107253;0.11514578833693305;0.8712972420837589;0.020193553303360513;0.13069425104436044;0.11514578833693305;0.9798064466966395;0.12870275791624106;0.8693057489556395;6.438202247191011;0.8358862144420132;6.438202247191011;0.21885416666666666;6.4281979173312775;0.6082744825765348;-47.49750808631747
layer: 87;0.20953636036899484;0.843297974927676;6.205882352941177;0.11702910672465708;0.843297974927676;0.006253860407659049;0.12178889924131506;0.11702910672465708;0.9937461395923409;0.156702025072324;0.8782111007586849;6.049180327868853;0.8349527485691468;6.049180327868853;0.2178125;6.399801765499057;0.5640107763043255;-47.65015559873756
layer: 88;0.09167517875383044;0.32966023875114786;5.862258953168044;0.048039609260002676;0.32966023875114786;0.0;0.048039609260002676;0.048039609260002676;1.0;0.6703397612488522;0.9519603907399973;5.191919191919192;0.756590392078148;24.775941230486684;0.9368402777777778;0.054476254185624004;0.21381121406407413;-49.106183371650296
layer: 89;0.0;0.0;4.494082840236686;0.0;0.0;0.14976811130657283;0.1259413663259817;0.0;0.8502318886934271;1.0;0.8740586336740183;3.4940828402366866;0.5558768154922001;21.55325443786982;0.8853298611111111;0.14356819489830996;0.5845943300980496;-49.03375186837003
layer: 90;0.1278723808318035;0.39826498422712936;4.830835962145111;0.06830323933184554;0.39826498422712936;0.0;0.06830323933184554;0.06830323933184554;1.0;0.6017350157728707;0.9316967606681544;4.22910094637224;0.725299249340637;21.111198738170348;0.9294791666666666;0.07682789487884015;0.30725414467482376;-49.06040180109198
layer: 91;0.20821150097465888;0.6386397608370703;4.4958893871449925;0.1162031685591895;0.6386397608370703;0.0;0.1162031685591895;0.1162031685591895;1.0;0.36136023916292975;0.8837968314408104;4.134529147982063;0.7522948255932549;4.134529147982063;0.19208333333333333;6.4654595079215955;0.5364755978915697;-48.474102370044136
