;DS;OF;EF;IoU;Sn;Sp;Acc;AO;FPR;FNR;MA;MAPE;Rerr;MAPE2;Rerr2;PSNR;PSNR2;PSNR3
layer: 74;0.0;0.0;2.3597560975609757;0.0;0.0;0.9742051589682064;0.9636711281070746;0.0;0.02579484103179364;1.0;0.036328871892925434;1.3597560975609757;0.014702973561020637;260.0975609756098;0.7405555555555555;1.2711565586257454;14.397480879144453;-31.715760318026668
layer: 75;0.0;0.0;1.3358024691358024;0.0;0.0;0.9635592078674391;0.9379712805717658;0.0;0.03644079213256096;1.0;0.062028719428234215;0.3358024691358025;0.008917448036194348;104.90123456790124;0.7375868055555556;1.2398473944381578;12.074071846740193;-35.90044916033478
layer: 76;0.7688984881209503;1.0;0.601123595505618;0.624561403508772;1.0;0.9782579246816581;0.9790168649496667;0.624561403508772;0.02174207531834191;0.0;0.020983135050333376;0.601123595505618;0.020983135050333376;0.601123595505618;0.005572916666666667;22.5391745101834;16.781296241814015;-33.604601228890445
layer: 77;0.8843258042436687;0.9953775038520801;0.25577812018489987;0.7926380368098159;0.9953775038520801;0.9886859323882224;0.9889693884211214;0.7926380368098159;0.011314067611777535;0.004622496147919877;0.011030611578878663;0.25115562403698;0.010638992232882971;0.25115562403698;0.002829861111111111;25.325357788095385;19.57400407961529;-31.358147041061024
layer: 78;0.9523809523809523;0.9722222222222222;0.06944444444444445;0.9090909090909091;0.9722222222222222;0.9962165508701933;0.9949768412812316;0.9090909090909091;0.0037834491298067;0.027777777777777776;0.005023158718768348;0.041666666666666664;0.0021527823080435774;0.041666666666666664;0.0005729166666666667;28.7393175825073;22.990230990460567;-28.428995651227012
layer: 79;0.9274413529732679;0.8854166666666666;0.023958333333333335;0.8646998982706002;0.8854166666666666;0.9983986632319153;0.9913202375513933;0.8646998982706002;0.001601336768084662;0.11458333333333333;0.00867976244860667;0.090625;-0.005677739346081055;0.090625;-0.0015104166666666666;26.365708424561262;20.61492160615103;-29.864367926888995
layer: 80;0.9390363815142576;0.8984007525870179;0.015051740357478834;0.8850787766450418;0.8984007525870179;0.9988781377085962;0.9919086460032627;0.8850787766450418;0.00112186229140373;0.10159924741298212;0.008091353996737357;0.08654750705550329;-0.00600326264274062;0.08654750705550329;-0.0015972222222222223;26.67000798260977;20.919787980282173;-29.698216417958406
layer: 81;0.9421140939597316;0.9049153908138597;0.016116035455278;0.8905630452022204;0.9049153908138597;0.9985790408525755;0.9909898145729955;0.8905630452022204;0.0014209591474245115;0.09508460918614021;0.00901018542700444;0.0789685737308622;-0.006398537477148081;0.0789685737308622;-0.0017013888888888888;26.205433970219755;20.452662712744136;-29.569967696952126
layer: 82;0.7760479041916167;0.6340508806262231;0.0;0.6340508806262231;0.6340508806262231;1.0;0.9633117520109868;0.6340508806262231;0.0;0.3659491193737769;0.03668824798901314;0.3659491193737769;-0.03668824798901314;0.3659491193737769;-0.009739583333333333;20.114596221670507;14.354730270522092;-36.84154050023253
layer: 83;0.7369186046511628;0.5834292289988493;0.0;0.5834292289988493;0.5834292289988493;1.0;0.9525681341719078;0.5834292289988493;0.0;0.41657077100115075;0.047431865828092244;0.41657077100115075;-0.047431865828092244;0.41657077100115075;-0.012569444444444444;19.00683917226065;13.239297911628729;-38.49980920495986
layer: 84;0.7810096957539284;0.6407021393307735;0.0;0.6407021393307735;0.6407021393307735;1.0;0.9569362261669954;0.6407021393307735;0.0;0.35929786066922653;0.0430637738330046;0.35929786066922653;-0.0430637738330046;0.35929786066922653;-0.011371527777777777;19.44181183431429;13.658879140612152;-38.54889768626008
layer: 85;0.9461709211986682;0.8983140147523709;0.0005268703898840885;0.8978409689310163;0.8983140147523709;0.9999245169082126;0.9871913376469035;0.8978409689310163;7.548309178743961e-05;0.10168598524762908;0.012808662353096528;0.101159114857745;-0.012676614287600687;0.101159114857745;-0.0033333333333333335;24.72620753492986;18.92496222558368;-32.3734169113892
layer: 86;0.9223995597138139;0.8559754851889684;0.0;0.8559754851889684;0.8559754851889684;1.0;0.9813009747364233;0.8559754851889684;0.0;0.14402451481103168;0.018699025263576686;0.14402451481103168;-0.018699025263576686;0.14402451481103168;-0.004895833333333334;23.10173375103851;17.281810316283767;-34.38434507603005
